name,website,city,type
FrieslandCampina,https://frieslandcampina.com,,direct merk
Campina,https://campina.nl,,direct merk
Chocomel,https://chocomel.nl,,direct merk
Optimel,https://optimel.nl,,direct merk
Fristi,https://fristi.nl,,direct merk
Arla,https://arla.nl,,direct merk
Leerdammer,https://leerdammer.nl,,direct merk
Vreugdenhil,https://vreugdenhildairyfoods.com,,direct merk
Valess,https://valess.nl,,direct merk
Zwanenberg,https://zwanenberg.nl,,direct merk
Royaan,https://royaan.com,,direct merk
Kwekkeboom,https://kwekkeboom.nl,,direct merk
Mora,https://mora.nl,,direct merk
Beckers,https://beckers.nl,,direct merk
Stegeman,https://stegeman.nl,,direct merk
The Greenery,https://thegreenery.com,,direct merk
Hessing Supervers,https://hessingsupervers.nl,,direct merk
Bakker Barendrecht,https://bakkerbarendrecht.nl,,direct merk
Vezet,https://vezet.nl,,direct merk
HAK,https://hak.nl,,direct merk
Bonduelle,https://bonduelle.nl,,direct merk
Remia,https://remia.nl,,direct merk
Oliehoorn,https://oliehoorn.nl,,direct merk
Goudas Glorie,https://goudasglorie.nl,,direct merk
Hela,https://hela.nl,,direct merk
Heinz NL,https://heinz.nl,,direct merk
Bolletje,https://bolletje.nl,,direct merk
Verkade,https://verkade.nl,,direct merk
Peijnenburg,https://peijnenburg.nl,,direct merk
Lassie,https://lassie.nl,,direct merk
Honig,https://honig.nl,,direct merk
De Ruijter,https://deruijter.nl,,direct merk
Venz,https://venz.nl,,direct merk
Hero,https://hero.nl,,direct merk
Vivera,https://vivera.com,,direct merk
Alpro,https://alpro.com,,direct merk
Schouten,https://schouteneurope.com,,direct merk
Jumbo Food,https://jumbo.com,,direct merk
